Word,Ans
Hello,hi
you,are
How,are
I,hope
Nice,to
Take,care
Have,a
good,day
you,doing
you,are
Good,night
Can,I
Thank,you
are,well
you,going
there,how
i,hope
to,meet
is,going
you,today
are,welcome
your,name
morning,how
you,today
you,very
good,thanks
help,me
going,well
a,nice
Good,morning
You,are
i,am
you,later
are,you
how,are
you,going
doing,good
see,you
hope,you
nice,day
are,you
a,good
Sure,I
hope,you
thanks,a
May,I
you,are
how,are
are,you
to,meet
you,later
are,you
see,you
are,you
hi,how
you,good
is,going
how,are
nice,to
good,evening
i,am
how,are
take,care
of,yourself
you,doing
am,going
am,doing
am,fine
i,am
good,morning
are,you
you,soon
nice,to
are,well
i,hope
hope,you
ask,you
good,day
have,a
help,you
help,you
how,is
i,am
are,you
you,soon
i,help
thanks,for
at,all
nice,day
i,hope
what,are
i,help
are,you
evening,how
how,is
i,am
see,you
you,doing
hi,how
nice,day
meet,you
am,good
ask,you
are,you
are,doing
how,are
are,you
have,a
help,you
see,you
it,is
you,doing
nice,to
to,see
It,is
you,tomorrow
sure,i
your,name
sleep,well
fine,thanks
it,is
see,you
you,good
may,i
I,can
a,nice
are,welcome
hope,you
am,fine
going,home
for,asking
you,later
Thanks,a
a,nice
are,doing
Are,you
are,you
you,doing
you,help
No,problem
a,lot
Can,I
How,are
you,something
are,you
How,are
are,you
Thanks,a
I,help
doing,today
problem,at
how,are
you,doing
I,am
am,good
How,is
Thank,you
see,you
is,your
doing,today
It,is
it,going
sleep,well
I,ask
very,much
I,ask
night,sleep
can,help
doing,good
of,yourself
Hello,how
going,home
Where,are
You,are
ask,you
fine,thanks
See,you
is,it
a,good
you,going
there,how
evening,how
Bye,see
good,thanks
how,are
problem,at
is,nice
are,you
hope,you
morning,how
Hi,there
It,is
are,you
to,see
No,problem
Where,are
is,it
It,is
I,am
am,fine
How,are
is,going
What,are
care,of
how,are
care,of
are,you
are,you
you,doing
I,am
Hello,how
Thanks,for
Good,evening
are,you
May,I
What,is
a,lot
you,very
good,thanks
Where,are
How,is
No,problem
is,nice
are,you
you,doing
how,are
am,good
Sure,I
I,ask
a,lot
meet,you
meet,you
sleep,well
see,you
you,something
Are,you
doing,well
night,sleep
Nice,to
problem,at
to,meet
you,good
May,I
I,help
help,me
are,you
good,day
going,well
Hi,how
is,your
are,doing
Good,evening
May,I
care,of
care,of
am,going
how,are
is,it
so,much
you,help
help,me
help,you
doing,well
doing,good
Bye,see
you,okay
nice,to
is,your
I,help
you,are
Have,a
very,much
how,are
Good,night
you,are
evening,how
Thank,you
of,yourself
are,you
It,is
night,sleep
you,tomorrow
how,are
how,are
are,you
for,asking
you,today
to,see
help,you
sleep,well
Hi,there
you,something
You,are
you,soon
am,doing
Bye,see
are,you
Are,you
